period,region_code,region_name,export_usd,import_usd,balance_usd,source
2022-12,MIDDLE_EAST,중동,2330499652.0,8906160423.0,-6575660771.0,관세청 국가별 수출입실적 집계
2022-12,US,미국,9349378331.0,6794422285.0,2554956046.0,관세청 국가별 수출입실적 집계
2023-01,ASEAN,아세안,8282167695.0,7160069797.0,1122097898.0,관세청 국가별 수출입실적 집계
2023-01,CIS,CIS,920348680.0,1176537965.0,-256189285.0,관세청 국가별 수출입실적 집계
2023-01,CN,중국,9207638675.0,13140060660.0,-3932421985.0,관세청 국가별 수출입실적 집계
2023-01,EU27,EU(27),5419457001.0,5587934708.0,-168477707.0,관세청 국가별 수출입실적 집계
2023-01,IN,인도,1452738349.0,543955228.0,908783121.0,관세청 국가별 수출입실적 집계
2023-01,JP,일본,2295203445.0,3953682365.0,-1658478920.0,관세청 국가별 수출입실적 집계
2023-01,LATAM,중남미,1658396337.0,2849033331.0,-1190636994.0,관세청 국가별 수출입실적 집계
2023-01,MIDDLE_EAST,중동,2110950954.0,8166300720.0,-6055349766.0,관세청 국가별 수출입실적 집계
2023-01,US,미국,8058603985.0,6995422573.0,1063181412.0,관세청 국가별 수출입실적 집계
2023-02,ASEAN,아세안,8437302186.0,6936091990.0,1501210196.0,관세청 국가별 수출입실적 집계
2023-02,CIS,CIS,1051167887.0,1259595983.0,-208428096.0,관세청 국가별 수출입실적 집계
2023-02,CN,중국,9885692884.0,11025733521.0,-1140040637.0,관세청 국가별 수출입실적 집계
2023-02,EU27,EU(27),6182088830.0,5565674231.0,616414599.0,관세청 국가별 수출입실적 집계
2023-02,IN,인도,1499353486.0,497612005.0,1001741481.0,관세청 국가별 수출입실적 집계
2023-02,JP,일본,2345909768.0,4227697796.0,-1881788028.0,관세청 국가별 수출입실적 집계
2023-02,LATAM,중남미,1826455868.0,2532811782.0,-706355914.0,관세청 국가별 수출입실적 집계
2023-02,MIDDLE_EAST,중동,2331887181.0,8417546375.0,-6085659194.0,관세청 국가별 수출입실적 집계
2023-02,US,미국,8991831182.0,6011956681.0,2979874501.0,관세청 국가별 수출입실적 집계
2023-03,ASEAN,아세안,9573898716.0,6879391009.0,2694507707.0,관세청 국가별 수출입실적 집계
2023-03,CIS,CIS,1258566476.0,1465019940.0,-206453464.0,관세청 국가별 수출입실적 집계
2023-03,CN,중국,10478065040.0,13189604934.0,-2711539894.0,관세청 국가별 수출입실적 집계
2023-03,EU27,EU(27),6121979909.0,5836334104.0,285645805.0,관세청 국가별 수출입실적 집계
2023-03,IN,인도,1575912971.0,615275606.0,960637365.0,관세청 국가별 수출입실적 집계
2023-03,JP,일본,2411769873.0,4478961369.0,-2067191496.0,관세청 국가별 수출입실적 집계
2023-03,LATAM,중남미,2286227912.0,2928349939.0,-642122027.0,관세청 국가별 수출입실적 집계
2023-03,MIDDLE_EAST,중동,2596665245.0,8583885497.0,-5987220252.0,관세청 국가별 수출입실적 집계
2023-03,US,미국,9775067552.0,6675930868.0,3099136684.0,관세청 국가별 수출입실적 집계
2023-04,ASEAN,아세안,8244720402.0,5944564547.0,2300155855.0,관세청 국가별 수출입실적 집계
2023-04,CIS,CIS,1302099877.0,1305170575.0,-3070698.0,관세청 국가별 수출입실적 집계
2023-04,CN,중국,9522776682.0,11794075744.0,-2271299062.0,관세청 국가별 수출입실적 집계
2023-04,EU27,EU(27),6080171822.0,5784404797.0,295767025.0,관세청 국가별 수출입실적 집계
2023-04,IN,인도,1330360499.0,518938158.0,811422341.0,관세청 국가별 수출입실적 집계
2023-04,JP,일본,2066010633.0,4032396436.0,-1966385803.0,관세청 국가별 수출입실적 집계
2023-04,LATAM,중남미,1750712922.0,2540928473.0,-790215551.0,관세청 국가별 수출입실적 집계
2023-04,MIDDLE_EAST,중동,2255125408.0,7111419442.0,-4856294034.0,관세청 국가별 수출입실적 집계
2023-04,US,미국,9181046987.0,5510740294.0,3670306693.0,관세청 국가별 수출입실적 집계
2023-05,ASEAN,아세안,8359910658.0,6275188190.0,2084722468.0,관세청 국가별 수출입실적 집계
2023-05,CIS,CIS,1201571050.0,1461959453.0,-260388403.0,관세청 국가별 수출입실적 집계
2023-05,CN,중국,10579849482.0,12379598055.0,-1799748573.0,관세청 국가별 수출입실적 집계
2023-05,EU27,EU(27),5850160219.0,6269091540.0,-418931321.0,관세청 국가별 수출입실적 집계
2023-05,IN,인도,1347610005.0,562548768.0,785061237.0,관세청 국가별 수출입실적 집계
2023-05,JP,일본,2565088740.0,3722639956.0,-1157551216.0,관세청 국가별 수출입실적 집계
2023-05,LATAM,중남미,1938658141.0,2611291796.0,-672633655.0,관세청 국가별 수출입실적 집계
2023-05,MIDDLE_EAST,중동,2226549906.0,7371367337.0,-5144817431.0,관세청 국가별 수출입실적 집계
2023-05,US,미국,9459648284.0,6017115831.0,3442532453.0,관세청 국가별 수출입실적 집계
2023-06,ASEAN,아세안,8551741978.0,6659664588.0,1892077390.0,관세청 국가별 수출입실적 집계
2023-06,CIS,CIS,1399032945.0,1226093125.0,172939820.0,관세청 국가별 수출입실적 집계
2023-06,CN,중국,10501951575.0,11799601629.0,-1297650054.0,관세청 국가별 수출입실적 집계
2023-06,EU27,EU(27),6182293913.0,6558467186.0,-376173273.0,관세청 국가별 수출입실적 집계
2023-06,IN,인도,1427371823.0,554432191.0,872939632.0,관세청 국가별 수출입실적 집계
2023-06,JP,일본,2555961043.0,4332565122.0,-1776604079.0,관세청 국가별 수출입실적 집계
2023-06,LATAM,중남미,2503630187.0,2538045181.0,-34414994.0,관세청 국가별 수출입실적 집계
2023-06,MIDDLE_EAST,중동,2291514787.0,6420188471.0,-4128673684.0,관세청 국가별 수출입실적 집계
2023-06,US,미국,9599198241.0,5531065977.0,4068132264.0,관세청 국가별 수출입실적 집계
2023-07,ASEAN,아세안,8868417095.0,6434035261.0,2434381834.0,관세청 국가별 수출입실적 집계
2023-07,CIS,CIS,973111212.0,1234461176.0,-261349964.0,관세청 국가별 수출입실적 집계
2023-07,CN,중국,9928339464.0,11172937979.0,-1244598515.0,관세청 국가별 수출입실적 집계
2023-07,EU27,EU(27),5631596898.0,5053421233.0,578175665.0,관세청 국가별 수출입실적 집계
2023-07,IN,인도,1430715883.0,544606769.0,886109114.0,관세청 국가별 수출입실적 집계
2023-07,JP,일본,2363451042.0,3876241550.0,-1512790508.0,관세청 국가별 수출입실적 집계
2023-07,LATAM,중남미,1921827217.0,2264330192.0,-342502975.0,관세청 국가별 수출입실적 집계
2023-07,MIDDLE_EAST,중동,2100670577.0,6314282436.0,-4213611859.0,관세청 국가별 수출입실적 집계
2023-07,US,미국,9309186009.0,5319601532.0,3989584477.0,관세청 국가별 수출입실적 집계
2023-08,ASEAN,아세안,9657902615.0,6646213168.0,3011689447.0,관세청 국가별 수출입실적 집계
2023-08,CIS,CIS,926327663.0,866703227.0,59624436.0,관세청 국가별 수출입실적 집계
2023-08,CN,중국,10515041465.0,11688869797.0,-1173828332.0,관세청 국가별 수출입실적 집계
2023-08,EU27,EU(27),5541554848.0,5009113107.0,532441741.0,관세청 국가별 수출입실적 집계
2023-08,IN,인도,1602896331.0,596406980.0,1006489351.0,관세청 국가별 수출입실적 집계
2023-08,JP,일본,2363482376.0,3656641370.0,-1293158994.0,관세청 국가별 수출입실적 집계
2023-08,LATAM,중남미,1920543648.0,2180649977.0,-260106329.0,관세청 국가별 수출입실적 집계
2023-08,MIDDLE_EAST,중동,2085337668.0,7758844181.0,-5673506513.0,관세청 국가별 수출입실적 집계
2023-08,US,미국,8959140624.0,5390721597.0,3568419027.0,관세청 국가별 수출입실적 집계
2023-09,ASEAN,아세안,9406586083.0,6168407669.0,3238178414.0,관세청 국가별 수출입실적 집계
2023-09,CIS,CIS,911061011.0,837227009.0,73834002.0,관세청 국가별 수출입실적 집계
2023-09,CN,중국,10997619447.0,11143265400.0,-145645953.0,관세청 국가별 수출입실적 집계
2023-09,EU27,EU(27),5735390919.0,5580308996.0,155081923.0,관세청 국가별 수출입실적 집계
2023-09,IN,인도,1638479892.0,552159132.0,1086320760.0,관세청 국가별 수출입실적 집계
2023-09,JP,일본,2512162147.0,3804957999.0,-1292795852.0,관세청 국가별 수출입실적 집계
2023-09,LATAM,중남미,2147867121.0,2564006320.0,-416139199.0,관세청 국가별 수출입실적 집계
2023-09,MIDDLE_EAST,중동,1981533122.0,8489812752.0,-6508279630.0,관세청 국가별 수출입실적 집계
2023-09,US,미국,10078333710.0,5122090022.0,4956243688.0,관세청 국가별 수출입실적 집계
2023-10,ASEAN,아세안,10524086635.0,6312206365.0,4211880270.0,관세청 국가별 수출입실적 집계
2023-10,CIS,CIS,951043515.0,840345864.0,110697651.0,관세청 국가별 수출입실적 집계
2023-10,CN,중국,10993481489.0,12549077951.0,-1555596462.0,관세청 국가별 수출입실적 집계
2023-10,EU27,EU(27),5013517859.0,5291515086.0,-277997227.0,관세청 국가별 수출입실적 집계
